/nfs/homedirs/gmik/lrgwn/.venv/lib/python3.11/site-packages/torch_geometric/data/dataset.py:115: UserWarning: The `pre_transform` argument differs from the one used in the pre-processed version of this dataset. If you want to make use of another pre-processing technique, pass `force_reload=True` explicitly to reload the dataset.
  self._process()
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /nfs/homedirs/gmik/.netrc.
wandb: Currently logged in as: m-goloshchapov (m_goloshchapov) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run i5fz1nzb
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /nfs/homedirs/gmik/lrgwn/wandb/run-20260305_142357-i5fz1nzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run daily-aardvark-10
wandb: ⭐️ View project at https://wandb.ai/m_goloshchapov/peptides-func
wandb: 🚀 View run at https://wandb.ai/m_goloshchapov/peptides-func/runs/i5fz1nzb
Epoch 92, train loss 0.0691, val loss 0.2900, val average_precision 0.6977
Epoch 93, train loss 0.0668, val loss 0.2943, val average_precision 0.6950
Epoch 94, train loss 0.0700, val loss 0.2949, val average_precision 0.6916
Epoch 95, train loss 0.0694, val loss 0.2825, val average_precision 0.6822
Epoch 96, train loss 0.0684, val loss 0.2964, val average_precision 0.6838
Epoch 97, train loss 0.0651, val loss 0.2874, val average_precision 0.6893
Epoch 98, train loss 0.0615, val loss 0.3108, val average_precision 0.6874
Epoch 99, train loss 0.0608, val loss 0.3143, val average_precision 0.6795
Epoch 100, train loss 0.0618, val loss 0.3076, val average_precision 0.6818
Epoch 101, train loss 0.0653, val loss 0.3115, val average_precision 0.6826
Epoch 102, train loss 0.0612, val loss 0.3063, val average_precision 0.6853
Epoch 103, train loss 0.0567, val loss 0.3334, val average_precision 0.6837
Epoch 104, train loss 0.0617, val loss 0.3173, val average_precision 0.6827
Epoch 105, train loss 0.0578, val loss 0.3198, val average_precision 0.6787
Epoch 106, train loss 0.0598, val loss 0.3220, val average_precision 0.6824
Epoch 107, train loss 0.0586, val loss 0.3196, val average_precision 0.6807
Epoch 108, train loss 0.0570, val loss 0.3251, val average_precision 0.6837
Epoch 109, train loss 0.0549, val loss 0.3150, val average_precision 0.6924
Epoch 110, train loss 0.0582, val loss 0.3153, val average_precision 0.6860
Epoch 111, train loss 0.0568, val loss 0.3203, val average_precision 0.6810
Epoch 112, train loss 0.0552, val loss 0.3302, val average_precision 0.6882
Epoch 113, train loss 0.0560, val loss 0.3137, val average_precision 0.6918
Epoch 114, train loss 0.0508, val loss 0.3288, val average_precision 0.6751
Epoch 115, train loss 0.0508, val loss 0.3256, val average_precision 0.6914
Epoch 116, train loss 0.0517, val loss 0.3460, val average_precision 0.6790
Epoch 117, train loss 0.0528, val loss 0.3360, val average_precision 0.6818
Epoch 118, train loss 0.0507, val loss 0.3249, val average_precision 0.7025
Epoch 119, train loss 0.0509, val loss 0.3390, val average_precision 0.6833
Epoch 120, train loss 0.0513, val loss 0.3343, val average_precision 0.6885
Epoch 121, train loss 0.0510, val loss 0.3379, val average_precision 0.6835
Epoch 122, train loss 0.0545, val loss 0.3468, val average_precision 0.6810
Epoch 123, train loss 0.0517, val loss 0.3311, val average_precision 0.6842
Epoch 124, train loss 0.0465, val loss 0.3529, val average_precision 0.6868
Epoch 125, train loss 0.0494, val loss 0.3451, val average_precision 0.6923
Epoch 126, train loss 0.0459, val loss 0.3730, val average_precision 0.6821
Epoch 127, train loss 0.0471, val loss 0.3710, val average_precision 0.6833
Epoch 128, train loss 0.0518, val loss 0.3493, val average_precision 0.6784
Epoch 129, train loss 0.0483, val loss 0.3570, val average_precision 0.6880
Epoch 130, train loss 0.0473, val loss 0.3480, val average_precision 0.6886
Epoch 131, train loss 0.0475, val loss 0.3475, val average_precision 0.6923
Epoch 132, train loss 0.0500, val loss 0.3502, val average_precision 0.6836
Epoch 133, train loss 0.0448, val loss 0.3794, val average_precision 0.6817
Epoch 134, train loss 0.0469, val loss 0.3679, val average_precision 0.6852
Epoch 135, train loss 0.0427, val loss 0.3746, val average_precision 0.6875
Epoch 136, train loss 0.0440, val loss 0.3723, val average_precision 0.6813
Epoch 137, train loss 0.0456, val loss 0.3589, val average_precision 0.6858
Epoch 138, train loss 0.0423, val loss 0.3659, val average_precision 0.6870
Epoch 139, train loss 0.0425, val loss 0.3532, val average_precision 0.6886
Epoch 140, train loss 0.0427, val loss 0.3691, val average_precision 0.6811
Epoch 141, train loss 0.0431, val loss 0.3853, val average_precision 0.6811
Epoch 142, train loss 0.0434, val loss 0.3624, val average_precision 0.6787
Epoch 143, train loss 0.0409, val loss 0.3741, val average_precision 0.6822
Epoch 144, train loss 0.0387, val loss 0.3796, val average_precision 0.6851
Epoch 145, train loss 0.0437, val loss 0.3862, val average_precision 0.6800
Epoch 146, train loss 0.0426, val loss 0.3863, val average_precision 0.6911
Epoch 147, train loss 0.0426, val loss 0.3852, val average_precision 0.6802
